_id,ngay,giai,so,basocuoi,haisocuoi,chanle,createdAt,updatedAt,__v,date_obj
691898a2deab5375d2966f0e,24/04/2023,G3a,05311,311,11,LLL,2025-11-15 15:13:38.268,2025-11-15 15:13:38.268,0,2023-04-24
691898a2deab5375d2966f23,24/04/2023,G4b,2375,375,75,LLL,2025-11-15 15:13:38.770,2025-11-15 15:13:38.770,0,2023-04-24
691898a2deab5375d2966f26,24/04/2023,G4c,1673,673,73,CLL,2025-11-15 15:13:38.842,2025-11-15 15:13:38.842,0,2023-04-24
691898a2deab5375d2966f29,24/04/2023,G4d,0403,403,03,CCL,2025-11-15 15:13:38.915,2025-11-15 15:13:38.915,0,2023-04-24
691898a3deab5375d2966f50,24/04/2023,G7d,63,63,63,,2025-11-15 15:13:39.857,2025-11-15 15:13:39.857,0,2023-04-24
691898a3deab5375d2966f4a,24/04/2023,G7b,86,86,86,,2025-11-15 15:13:39.713,2025-11-15 15:13:39.713,0,2023-04-24
691898a3deab5375d2966f47,24/04/2023,G7a,48,48,48,,2025-11-15 15:13:39.641,2025-11-15 15:13:39.641,0,2023-04-24
691898a3deab5375d2966f44,24/04/2023,G6c,370,370,70,LLC,2025-11-15 15:13:39.570,2025-11-15 15:13:39.570,0,2023-04-24
691898a3deab5375d2966f41,24/04/2023,G6b,874,874,74,CLC,2025-11-15 15:13:39.497,2025-11-15 15:13:39.497,0,2023-04-24
691898a3deab5375d2966f3e,24/04/2023,G6a,347,347,47,LCL,2025-11-15 15:13:39.426,2025-11-15 15:13:39.426,0,2023-04-24
691898a3deab5375d2966f4d,24/04/2023,G7c,10,10,10,,2025-11-15 15:13:39.785,2025-11-15 15:13:39.785,0,2023-04-24
691898a3deab5375d2966f38,24/04/2023,G5e,0379,379,79,LLL,2025-11-15 15:13:39.281,2025-11-15 15:13:39.281,0,2023-04-24
691898a3deab5375d2966f35,24/04/2023,G5d,3726,726,26,LCC,2025-11-15 15:13:39.206,2025-11-15 15:13:39.206,0,2023-04-24
691898a3deab5375d2966f32,24/04/2023,G5c,3630,630,30,CLC,2025-11-15 15:13:39.133,2025-11-15 15:13:39.133,0,2023-04-24
691898a3deab5375d2966f2f,24/04/2023,G5b,9581,581,81,LCL,2025-11-15 15:13:39.060,2025-11-15 15:13:39.060,0,2023-04-24
691898a2deab5375d2966f2c,24/04/2023,G5a,2683,683,83,CCL,2025-11-15 15:13:38.987,2025-11-15 15:13:38.987,0,2023-04-24
691898a3deab5375d2966f3b,24/04/2023,G5f,1451,451,51,CLL,2025-11-15 15:13:39.353,2025-11-15 15:13:39.353,0,2023-04-24
691898a0deab5375d2966ecc,25/04/2023,G3f,10644,644,44,CCC,2025-11-15 15:13:36.678,2025-11-15 15:13:36.678,0,2023-04-25
691898a0deab5375d2966ec9,25/04/2023,G3e,65973,973,73,LLL,2025-11-15 15:13:36.606,2025-11-15 15:13:36.606,0,2023-04-25
691898a0deab5375d2966ec6,25/04/2023,G3d,12157,157,57,LLL,2025-11-15 15:13:36.534,2025-11-15 15:13:36.534,0,2023-04-25
691898a0deab5375d2966ec3,25/04/2023,G3c,53615,615,15,CLL,2025-11-15 15:13:36.463,2025-11-15 15:13:36.463,0,2023-04-25
691898a0deab5375d2966ec0,25/04/2023,G3b,49981,981,81,LCL,2025-11-15 15:13:36.391,2025-11-15 15:13:36.391,0,2023-04-25
691898a0deab5375d2966eb7,25/04/2023,G2a,40929,929,29,LCL,2025-11-15 15:13:36.175,2025-11-15 15:13:36.175,0,2023-04-25
691898a0deab5375d2966eba,25/04/2023,G2b,91988,988,88,LCC,2025-11-15 15:13:36.247,2025-11-15 15:13:36.247,0,2023-04-25
691898a0deab5375d2966eb4,25/04/2023,G1,95809,809,09,CCL,2025-11-15 15:13:36.103,2025-11-15 15:13:36.103,0,2023-04-25
691898a0deab5375d2966eb1,25/04/2023,ĐB,85483,483,83,CCL,2025-11-15 15:13:36.031,2025-11-15 15:13:36.031,0,2023-04-25
691898a0deab5375d2966ecf,25/04/2023,G4a,6550,550,50,LLC,2025-11-15 15:13:36.749,2025-11-15 15:13:36.749,0,2023-04-25
691898a0deab5375d2966ebd,25/04/2023,G3a,44027,027,27,CCL,2025-11-15 15:13:36.319,2025-11-15 15:13:36.319,0,2023-04-25
691898a0deab5375d2966ed2,25/04/2023,G4b,6342,342,42,LCC,2025-11-15 15:13:36.821,2025-11-15 15:13:36.821,0,2023-04-25
691898a1deab5375d2966eff,25/04/2023,G7d,66,66,66,,2025-11-15 15:13:37.909,2025-11-15 15:13:37.909,0,2023-04-25
691898a0deab5375d2966ed8,25/04/2023,G4d,1286,286,86,CCC,2025-11-15 15:13:36.966,2025-11-15 15:13:36.966,0,2023-04-25
691898a0deab5375d2966ed5,25/04/2023,G4c,6838,838,38,CLC,2025-11-15 15:13:36.894,2025-11-15 15:13:36.894,0,2023-04-25
691898a1deab5375d2966ef9,25/04/2023,G7b,58,58,58,,2025-11-15 15:13:37.766,2025-11-15 15:13:37.766,0,2023-04-25
691898a1deab5375d2966ef6,25/04/2023,G7a,06,06,06,,2025-11-15 15:13:37.693,2025-11-15 15:13:37.693,0,2023-04-25
691898a1deab5375d2966ef3,25/04/2023,G6c,029,029,29,CCL,2025-11-15 15:13:37.621,2025-11-15 15:13:37.621,0,2023-04-25
691898a1deab5375d2966ef0,25/04/2023,G6b,370,370,70,LLC,2025-11-15 15:13:37.549,2025-11-15 15:13:37.549,0,2023-04-25
691898a1deab5375d2966eed,25/04/2023,G6a,711,711,11,LLL,2025-11-15 15:13:37.476,2025-11-15 15:13:37.476,0,2023-04-25
691898a1deab5375d2966efc,25/04/2023,G7c,25,25,25,,2025-11-15 15:13:37.838,2025-11-15 15:13:37.838,0,2023-04-25
691898a1deab5375d2966ee7,25/04/2023,G5e,4655,655,55,CLL,2025-11-15 15:13:37.331,2025-11-15 15:13:37.331,0,2023-04-25
691898a1deab5375d2966ee4,25/04/2023,G5d,4217,217,17,CLL,2025-11-15 15:13:37.258,2025-11-15 15:13:37.258,0,2023-04-25
691898a1deab5375d2966ee1,25/04/2023,G5c,4898,898,98,CLC,2025-11-15 15:13:37.185,2025-11-15 15:13:37.185,0,2023-04-25
691898a1deab5375d2966ede,25/04/2023,G5b,7235,235,35,CLL,2025-11-15 15:13:37.112,2025-11-15 15:13:37.112,0,2023-04-25
691898a1deab5375d2966edb,25/04/2023,G5a,6306,306,06,LCC,2025-11-15 15:13:37.039,2025-11-15 15:13:37.039,0,2023-04-25
691898a1deab5375d2966eea,25/04/2023,G5f,9170,170,70,LLC,2025-11-15 15:13:37.403,2025-11-15 15:13:37.403,0,2023-04-25
6918989edeab5375d2966e7b,26/04/2023,G3f,74897,897,97,CLL,2025-11-15 15:13:34.723,2025-11-15 15:13:34.723,0,2023-04-26
6918989edeab5375d2966e78,26/04/2023,G3e,27642,642,42,CCC,2025-11-15 15:13:34.649,2025-11-15 15:13:34.649,0,2023-04-26
6918989edeab5375d2966e75,26/04/2023,G3d,85300,300,00,LCC,2025-11-15 15:13:34.576,2025-11-15 15:13:34.576,0,2023-04-26
6918989edeab5375d2966e72,26/04/2023,G3c,20187,187,87,LCL,2025-11-15 15:13:34.504,2025-11-15 15:13:34.504,0,2023-04-26
6918989edeab5375d2966e6f,26/04/2023,G3b,59356,356,56,LLC,2025-11-15 15:13:34.430,2025-11-15 15:13:34.430,0,2023-04-26
6918989edeab5375d2966e66,26/04/2023,G2a,87741,741,41,LCL,2025-11-15 15:13:34.208,2025-11-15 15:13:34.208,0,2023-04-26
6918989edeab5375d2966e69,26/04/2023,G2b,90868,868,68,CCC,2025-11-15 15:13:34.281,2025-11-15 15:13:34.281,0,2023-04-26
6918989edeab5375d2966e63,26/04/2023,G1,47122,122,22,LCC,2025-11-15 15:13:34.136,2025-11-15 15:13:34.136,0,2023-04-26
6918989edeab5375d2966e60,26/04/2023,ĐB,89675,675,75,CLL,2025-11-15 15:13:34.063,2025-11-15 15:13:34.063,0,2023-04-26
6918989edeab5375d2966e7e,26/04/2023,G4a,4117,117,17,LLL,2025-11-15 15:13:34.796,2025-11-15 15:13:34.796,0,2023-04-26
6918989edeab5375d2966e6c,26/04/2023,G3a,67189,189,89,LCL,2025-11-15 15:13:34.355,2025-11-15 15:13:34.355,0,2023-04-26
6918989edeab5375d2966e81,26/04/2023,G4b,8648,648,48,CCC,2025-11-15 15:13:34.869,2025-11-15 15:13:34.869,0,2023-04-26
6918989fdeab5375d2966eae,26/04/2023,G7d,90,90,90,,2025-11-15 15:13:35.958,2025-11-15 15:13:35.958,0,2023-04-26
6918989fdeab5375d2966e87,26/04/2023,G4d,1811,811,11,CLL,2025-11-15 15:13:35.015,2025-11-15 15:13:35.015,0,2023-04-26
6918989fdeab5375d2966ea8,26/04/2023,G7b,60,60,60,,2025-11-15 15:13:35.813,2025-11-15 15:13:35.813,0,2023-04-26
6918989fdeab5375d2966ea5,26/04/2023,G7a,17,17,17,,2025-11-15 15:13:35.740,2025-11-15 15:13:35.740,0,2023-04-26
6918989fdeab5375d2966ea2,26/04/2023,G6c,095,095,95,CLL,2025-11-15 15:13:35.667,2025-11-15 15:13:35.667,0,2023-04-26
6918989fdeab5375d2966e9f,26/04/2023,G6b,330,330,30,LLC,2025-11-15 15:13:35.595,2025-11-15 15:13:35.595,0,2023-04-26
6918989fdeab5375d2966e9c,26/04/2023,G6a,148,148,48,LCC,2025-11-15 15:13:35.523,2025-11-15 15:13:35.523,0,2023-04-26
6918989fdeab5375d2966eab,26/04/2023,G7c,41,41,41,,2025-11-15 15:13:35.886,2025-11-15 15:13:35.886,0,2023-04-26
6918989fdeab5375d2966e96,26/04/2023,G5e,6045,045,45,CCL,2025-11-15 15:13:35.377,2025-11-15 15:13:35.377,0,2023-04-26
6918989fdeab5375d2966e99,26/04/2023,G5f,1826,826,26,CCC,2025-11-15 15:13:35.449,2025-11-15 15:13:35.449,0,2023-04-26
6918989fdeab5375d2966e8a,26/04/2023,G5a,3606,606,06,CCC,2025-11-15 15:13:35.088,2025-11-15 15:13:35.088,0,2023-04-26
6918989edeab5375d2966e84,26/04/2023,G4c,2445,445,45,CCL,2025-11-15 15:13:34.942,2025-11-15 15:13:34.942,0,2023-04-26
6918989fdeab5375d2966e90,26/04/2023,G5c,9511,511,11,LLL,2025-11-15 15:13:35.233,2025-11-15 15:13:35.233,0,2023-04-26
6918989fdeab5375d2966e93,26/04/2023,G5d,2703,703,03,LCL,2025-11-15 15:13:35.304,2025-11-15 15:13:35.304,0,2023-04-26
6918989fdeab5375d2966e8d,26/04/2023,G5b,9255,255,55,CLL,2025-11-15 15:13:35.160,2025-11-15 15:13:35.160,0,2023-04-26
6918989cdeab5375d2966e30,27/04/2023,G4b,4957,957,57,LLL,2025-11-15 15:13:32.905,2025-11-15 15:13:32.905,0,2023-04-27
6918989cdeab5375d2966e0f,27/04/2023,ĐB,80755,755,55,LLL,2025-11-15 15:13:32.106,2025-11-15 15:13:32.106,0,2023-04-27
6918989cdeab5375d2966e12,27/04/2023,G1,28579,579,79,LLL,2025-11-15 15:13:32.179,2025-11-15 15:13:32.179,0,2023-04-27
6918989cdeab5375d2966e15,27/04/2023,G2a,97673,673,73,CLL,2025-11-15 15:13:32.252,2025-11-15 15:13:32.252,0,2023-04-27
6918989cdeab5375d2966e1b,27/04/2023,G3a,85938,938,38,LLC,2025-11-15 15:13:32.398,2025-11-15 15:13:32.398,0,2023-04-27
6918989cdeab5375d2966e1e,27/04/2023,G3b,05886,886,86,CCC,2025-11-15 15:13:32.470,2025-11-15 15:13:32.470,0,2023-04-27
6918989cdeab5375d2966e21,27/04/2023,G3c,47570,570,70,LLC,2025-11-15 15:13:32.543,2025-11-15 15:13:32.543,0,2023-04-27
6918989cdeab5375d2966e24,27/04/2023,G3d,39895,895,95,CLL,2025-11-15 15:13:32.615,2025-11-15 15:13:32.615,0,2023-04-27
6918989cdeab5375d2966e27,27/04/2023,G3e,91973,973,73,LLL,2025-11-15 15:13:32.687,2025-11-15 15:13:32.687,0,2023-04-27
6918989cdeab5375d2966e2a,27/04/2023,G3f,30964,964,64,LCC,2025-11-15 15:13:32.759,2025-11-15 15:13:32.759,0,2023-04-27
6918989cdeab5375d2966e2d,27/04/2023,G4a,5084,084,84,CCC,2025-11-15 15:13:32.831,2025-11-15 15:13:32.831,0,2023-04-27
6918989cdeab5375d2966e18,27/04/2023,G2b,33524,524,24,LCC,2025-11-15 15:13:32.325,2025-11-15 15:13:32.325,0,2023-04-27
6918989cdeab5375d2966e33,27/04/2023,G4c,4141,141,41,LCL,2025-11-15 15:13:32.977,2025-11-15 15:13:32.977,0,2023-04-27
6918989ddeab5375d2966e39,27/04/2023,G5a,2445,445,45,CCL,2025-11-15 15:13:33.121,2025-11-15 15:13:33.121,0,2023-04-27
6918989ddeab5375d2966e36,27/04/2023,G4d,7474,474,74,CLC,2025-11-15 15:13:33.049,2025-11-15 15:13:33.049,0,2023-04-27
6918989ddeab5375d2966e5a,27/04/2023,G7c,50,50,50,,2025-11-15 15:13:33.918,2025-11-15 15:13:33.918,0,2023-04-27
6918989ddeab5375d2966e57,27/04/2023,G7b,02,02,02,,2025-11-15 15:13:33.845,2025-11-15 15:13:33.845,0,2023-04-27
6918989ddeab5375d2966e54,27/04/2023,G7a,74,74,74,,2025-11-15 15:13:33.772,2025-11-15 15:13:33.772,0,2023-04-27
6918989ddeab5375d2966e51,27/04/2023,G6c,765,765,65,LCL,2025-11-15 15:13:33.700,2025-11-15 15:13:33.700,0,2023-04-27
6918989ddeab5375d2966e4e,27/04/2023,G6b,670,670,70,CLC,2025-11-15 15:13:33.627,2025-11-15 15:13:33.627,0,2023-04-27
6918989ddeab5375d2966e5d,27/04/2023,G7d,16,16,16,,2025-11-15 15:13:33.990,2025-11-15 15:13:33.990,0,2023-04-27
6918989ddeab5375d2966e48,27/04/2023,G5f,7827,827,27,CCL,2025-11-15 15:13:33.482,2025-11-15 15:13:33.482,0,2023-04-27
6918989ddeab5375d2966e45,27/04/2023,G5e,2490,490,90,CLC,2025-11-15 15:13:33.410,2025-11-15 15:13:33.410,0,2023-04-27
6918989ddeab5375d2966e42,27/04/2023,G5d,8832,832,32,CLC,2025-11-15 15:13:33.337,2025-11-15 15:13:33.337,0,2023-04-27
6918989ddeab5375d2966e3f,27/04/2023,G5c,4893,893,93,CLL,2025-11-15 15:13:33.265,2025-11-15 15:13:33.265,0,2023-04-27
6918989ddeab5375d2966e3c,27/04/2023,G5b,9443,443,43,CCL,2025-11-15 15:13:33.193,2025-11-15 15:13:33.193,0,2023-04-27
6918989ddeab5375d2966e4b,27/04/2023,G6a,068,068,68,CCC,2025-11-15 15:13:33.555,2025-11-15 15:13:33.555,0,2023-04-27
6918989adeab5375d2966dd9,28/04/2023,G3f,02270,270,70,CLC,2025-11-15 15:13:30.807,2025-11-15 15:13:30.807,0,2023-04-28
6918989adeab5375d2966dd6,28/04/2023,G3e,51864,864,64,CCC,2025-11-15 15:13:30.735,2025-11-15 15:13:30.735,0,2023-04-28
6918989adeab5375d2966dd3,28/04/2023,G3d,20967,967,67,LCL,2025-11-15 15:13:30.663,2025-11-15 15:13:30.663,0,2023-04-28
6918989adeab5375d2966dd0,28/04/2023,G3c,39031,031,31,CLL,2025-11-15 15:13:30.592,2025-11-15 15:13:30.592,0,2023-04-28
